"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-12",97.83976,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-01",97.74454,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-02",97.62505,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-03",97.79716,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-04",98.11139,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-05",98.30385,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-06",98.28775,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-07",98.23626,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-08",98.37836,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-09",98.69241,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-10",99.17702,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-11",99.68847,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-12",100.0617,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-01",100.315,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-02",100.5378,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-03",100.6792,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-04",100.6966,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-05",100.7307,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-06",100.7447,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-07",100.6408,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-08",100.5083,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-09",100.4655,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-10",100.4897,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.4599,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.4357,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-01",100.4248,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.4633,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.557,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.6016,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.7024,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.8131,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.8548,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.9085,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-09",100.9392,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.9488,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.973,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.9064,
