Date,Open,High,Low,Close,Adj Close,Volume
2012-11-01,27.500000,29.150000,26.059999,28.860001,17.332651,5321400
2012-12-01,28.900000,34.509998,28.530001,31.190001,18.731991,2187200
2013-01-01,31.600000,35.730000,31.480000,34.419998,20.671854,2345200
2013-02-01,34.730000,37.040001,32.119999,32.689999,19.734846,2232300
2013-03-01,32.779999,38.610001,32.529999,37.450001,22.608448,5020100
2013-04-01,37.470001,39.310001,34.500000,38.270000,23.103474,2617900
2013-05-01,38.130001,39.689999,35.119999,37.130001,22.415258,2161600
2013-06-01,36.980000,39.500000,34.400002,36.810001,22.382284,4062000
2013-07-01,37.119999,38.040001,35.209999,35.750000,21.737749,1946200
2013-08-01,35.500000,38.540001,34.509998,35.700001,21.880186,1219200
2013-09-01,35.680000,37.060001,34.950001,36.439999,22.333723,1113300
2013-10-01,36.480000,38.590000,35.910000,36.840000,22.578878,1388400
2013-11-01,37.290001,39.560001,35.720001,38.060001,23.514338,2063700
2013-12-01,37.919998,44.970001,36.619999,44.540001,27.517832,2734200
2014-01-01,44.259998,47.459999,40.009998,46.009998,28.426031,2317600
2014-02-01,46.549999,50.750000,44.009998,48.810001,30.359373,1336700
2014-03-01,48.810001,50.220001,46.270000,48.990002,30.471325,1367700
2014-04-01,49.000000,58.070000,48.139999,54.130001,33.668365,1521200
2014-05-01,53.700001,61.740002,53.700001,57.160000,35.553005,1335600
2014-06-01,57.020000,66.489998,55.380001,64.500000,40.362988,1352300
2014-07-01,64.480003,68.050003,55.000000,56.750000,35.513172,1787800
2014-08-01,55.009998,64.419998,55.009998,61.000000,38.399994,1340900
2014-09-01,61.000000,67.970001,58.750000,58.939999,37.103203,2245700
2014-10-01,58.689999,69.050003,46.080002,66.680000,41.975605,3971900
2014-11-01,66.870003,73.000000,66.019997,66.410004,42.038124,4706900
2014-12-01,65.989998,73.760002,58.360001,73.489998,46.519836,9658400
2015-01-01,74.709999,85.570000,65.290001,79.540001,50.349545,3762300
2015-02-01,80.050003,83.220001,75.269997,82.199997,52.279819,2606400
2015-03-01,82.300003,82.870003,68.000000,73.260002,46.593906,3652400
2015-04-01,73.260002,80.000000,71.900002,77.750000,49.449593,1870900
2015-05-01,77.230003,78.860001,71.400002,73.000000,46.428539,1780800
2015-06-01,72.919998,76.290001,70.230003,71.379997,45.638870,2499100
2015-07-01,71.570000,71.730003,52.580002,55.689999,35.607021,18397600
2015-08-01,55.700001,56.680000,45.310001,49.630001,31.983683,9581000
2015-09-01,49.169998,49.500000,35.549999,38.209999,24.624146,7534900
2015-10-01,38.169998,43.110001,32.080002,38.790001,24.997925,8217700
2015-11-01,38.970001,45.630001,36.500000,42.939999,28.029472,11920600
2015-12-01,43.040001,43.799999,26.379999,39.330002,25.673016,89830100
2016-01-01,38.959999,39.459999,23.920000,30.770000,20.085396,40796600
2016-02-01,30.150000,30.650000,16.340000,25.940001,16.932573,68461000
2016-03-01,26.150000,30.870001,24.340000,29.690001,19.705921,65551500
2016-04-01,28.450001,33.770000,26.750000,32.189999,21.365225,25302400
2016-05-01,32.290001,34.169998,29.330000,31.900000,21.510521,23300600
2016-06-01,31.469999,34.919998,30.540001,33.630001,22.677076,26153100
2016-07-01,33.380001,35.119999,31.139999,32.450001,21.881390,21131800
2016-08-01,32.130001,34.279999,30.360001,33.130001,22.687708,24598400
2016-09-01,33.029999,34.360001,31.600000,33.860001,23.187618,20534100
2016-10-01,33.610001,34.490002,30.090000,34.020000,23.297186,32399900
2016-11-01,34.020000,35.320000,31.250000,32.849998,22.495958,33002700
2016-12-01,33.250000,34.639999,31.059999,34.619999,24.067337,42867000
2017-01-01,34.810001,38.549999,34.130001,37.849998,26.312784,28605500
2017-02-01,37.759998,39.430000,36.669998,37.209999,25.867867,20804900
2017-03-01,37.580002,38.419998,34.849998,36.080002,25.432171,23449100
2017-04-01,36.090000,37.849998,35.070000,35.230000,24.833019,22002600
2017-05-01,35.290001,36.090000,32.910000,33.049999,23.296373,32269600
2017-06-01,33.139999,33.880001,30.879999,33.400002,23.910521,45059200
2017-07-01,33.500000,36.799999,32.770000,36.349998,26.022371,32167600
2017-08-01,36.520000,36.740002,32.169998,34.320000,24.569130,26292200
2017-09-01,34.380001,35.840000,33.700001,35.009998,25.456499,33889900
2017-10-01,34.740002,36.000000,32.000000,35.259998,25.638283,33075400
2017-11-01,35.529999,36.270000,33.080002,35.860001,26.074556,26894200
